batch_axis_names: 'data'
model.encoder.context.context.layer.ff_end.klass: 'axlearn.common.attention.TransformerFeedForwardLayer'
model.encoder.context.context.layer.ff_end.linear1.bias: True
model.encoder.context.context.layer.ff_end.linear1.klass: 'axlearn.common.layers.Linear'
model.encoder.context.context.layer.ff_end.linear1.param_partition_spec[0]: None
model.encoder.context.context.layer.ff_end.linear1.param_partition_spec[1]: 'model'
model.encoder.context.context.layer.ff_end.linear2.bias: True
model.encoder.context.context.layer.ff_end.linear2.klass: 'axlearn.common.layers.Linear'
model.encoder.context.context.layer.ff_end.linear2.param_partition_spec[0]: 'model'
model.encoder.context.context.layer.ff_end.linear2.param_partition_spec[1]: None
model.encoder.context.context.layer.ff_end.norm.eps: 1e-08
model.encoder.context.context.layer.ff_end.norm.forward_dtype: 'jax.numpy.float32'
model.encoder.context.context.layer.ff_end.norm.klass: 'axlearn.common.layers.LayerNorm'
model.encoder.context.context.layer.ff_end.residual_weight: 0.5
model.encoder.context.context.layer.ff_end.stochastic_depth.klass: 'axlearn.common.layers.StochasticDepth'
model.encoder.context.context.layer.ff_end.stochastic_depth.mode: 'row'
model.encoder.context.context.layer.ff_end.structure: 'prenorm'
model.encoder.context.context.layer.ff_start.activation: 'nn.silu'
model.encoder.context.context.layer.ff_start.dropout.klass: 'axlearn.common.layers.Dropout'
model.encoder.context.context.layer.ff_start.dropout.rate: 0.1
model.encoder.context.context.layer.ff_start.hidden_dim.fn: 'axlearn.common.attention.scale_fn'
model.encoder.context.context.layer.ff_start.hidden_dim.scale: 4
model.encoder.context.context.layer.ff_start.klass: 'axlearn.common.attention.TransformerFeedForwardLayer'
model.encoder.context.context.layer.ff_start.linear1.bias: True
model.encoder.context.context.layer.ff_start.linear1.klass: 'axlearn.common.layers.Linear'
model.encoder.context.context.layer.ff_start.linear1.param_partition_spec[0]: None
model.encoder.context.context.layer.ff_start.linear1.param_partition_spec[1]: 'model'
model.encoder.context.context.layer.ff_start.linear2.bias: True
model.encoder.context.context.layer.ff_start.linear2.klass: 'axlearn.common.layers.Linear'
model.encoder.context.context.layer.ff_start.linear2.param_partition_spec[0]: 'model'
model.encoder.context.context.layer.ff_start.linear2.param_partition_spec[1]: None
model.encoder.context.context.layer.ff_start.norm.eps: 1e-08
model.encoder.context.context.layer.ff_start.norm.forward_dtype: 'jax.numpy.float32'
model.encoder.context.context.layer.ff_start.norm.klass: 'axlearn.common.layers.LayerNorm'
model.encoder.context.context.layer.ff_start.residual_weight: 0.5
model.encoder.context.context.layer.ff_start.stochastic_depth.klass: 'axlearn.common.layers.StochasticDepth'
model.encoder.context.context.layer.ff_start.stochastic_depth.mode: 'row'
model.encoder.context.context.layer.ff_start.structure: 'prenorm'
model.encoder.context.context.layer.klass: 'axlearn.common.conformer.ConformerLayer'
model.encoder.context.context.layer.lconv.conv.bias: False
model.encoder.context.context.layer.lconv.conv.klass: 'axlearn.common.layers.DepthwiseConv1D'
model.encoder.context.context.layer.lconv.conv.padding: 'SAME'
model.encoder.context.context.layer.lconv.conv.param_partition_spec[0]: None
model.encoder.context.context.layer.lconv.conv.param_partition_spec[1]: None
model.encoder.context.context.layer.lconv.conv.param_partition_spec[2]: 'model'
model.encoder.context.context.layer.lconv.conv.strides: 1
model.encoder.context.context.layer.lconv.conv.window: 32
model.encoder.context.context.layer.lconv.conv_activation: 'nn.silu'
model.encoder.context.context.layer.lconv.conv_norm.decay: 0.999
model.encoder.context.context.layer.lconv.conv_norm.eps: 1e-08
model.encoder.context.context.layer.lconv.conv_norm.forward_dtype: 'jax.numpy.float32'
model.encoder.context.context.layer.lconv.conv_norm.klass: 'axlearn.common.layers.BatchNorm'
model.encoder.context.context.layer.lconv.dropout.klass: 'axlearn.common.layers.Dropout'
model.encoder.context.context.layer.lconv.dropout.rate: 0.1
model.encoder.context.context.layer.lconv.klass: 'axlearn.common.conformer.LConvLayer'
model.encoder.context.context.layer.lconv.linear1.bias: True
model.encoder.context.context.layer.lconv.linear1.klass: 'axlearn.common.layers.Linear'
model.encoder.context.context.layer.lconv.linear1.param_partition_spec[0]: None
model.encoder.context.context.layer.lconv.linear1.param_partition_spec[1]: None
model.encoder.context.context.layer.lconv.linear1_activation[0]: 'linear'
model.encoder.context.context.layer.lconv.linear1_activation[1]: 'nn.sigmoid'
model.encoder.context.context.layer.lconv.linear1_norm.eps: 1e-08
model.encoder.context.context.layer.lconv.linear1_norm.forward_dtype: 'jax.numpy.float32'
model.encoder.context.context.layer.lconv.linear1_norm.klass: 'axlearn.common.layers.LayerNorm'
model.encoder.context.context.layer.lconv.linear2.bias: True
model.encoder.context.context.layer.lconv.linear2.klass: 'axlearn.common.layers.Linear'
model.encoder.context.context.layer.lconv.linear2.param_partition_spec[0]: None
model.encoder.context.context.layer.lconv.linear2.param_partition_spec[1]: None
model.encoder.context.context.layer.neg_inf: -1000000000000000.0
model.encoder.context.context.layer.norm.eps: 1e-08
model.encoder.context.context.layer.norm.forward_dtype: 'jax.numpy.float32'
model.encoder.context.context.layer.norm.klass: 'axlearn.common.layers.LayerNorm'
model.encoder.context.context.layer.self_attention.attention.dropout.klass: 'axlearn.common.layers.Dropout'
model.encoder.context.context.layer.self_attention.attention.dropout.rate: 0.1
model.encoder.context.context.layer.self_attention.attention.input_linear.klass: 'axlearn.common.attention.FusedQKVLinear'
model.encoder.context.context.layer.self_attention.attention.input_linear.layer.bias: True
model.encoder.context.context.layer.self_attention.attention.input_linear.layer.klass: 'axlearn.common.attention.MultiheadInputLinear'
model.encoder.context.context.layer.self_attention.attention.input_linear.layer.param_partition_spec[0]: None
model.encoder.context.context.layer.self_attention.attention.input_linear.layer.param_partition_spec[1]: 'model'
model.encoder.context.context.layer.self_attention.attention.input_linear.layer.param_partition_spec[2]: None
model.encoder.context.context.layer.self_attention.attention.key_scale.klass: 'axlearn.common.attention.ScaleKey'
model.encoder.context.context.layer.self_attention.attention.klass: 'axlearn.common.attention.MultiheadAttentionXL'
model.encoder.context.context.layer.self_attention.attention.num_heads: 8
model.encoder.context.context.layer.self_attention.attention.output_linear.bias: True
model.encoder.context.context.layer.self_attention.attention.output_linear.klass: 'axlearn.common.attention.MultiheadOutputLinear'
model.encoder.context.context.layer.self_attention.attention.output_linear.param_partition_spec[0]: None
model.encoder.context.context.layer.self_attention.attention.output_linear.param_partition_spec[1]: 'model'
model.encoder.context.context.layer.self_attention.attention.output_linear.param_partition_spec[2]: None
model.encoder.context.context.layer.self_attention.attention.query_scale.klass: 'axlearn.common.attention.ScaleQuery'
model.encoder.context.context.layer.self_attention.attention.query_scale.per_dim_scale.klass: 'axlearn.common.attention.PerDimScale'
model.encoder.context.context.layer.self_attention.attention.query_scale.per_dim_scale.param_init.klass: 'axlearn.common.param_init.ConstantInitializer'
model.encoder.context.context.layer.self_attention.attention.query_scale.per_dim_scale.param_init.value: 0.0
model.encoder.context.context.layer.self_attention.attention.relative_pos_emb.klass: 'axlearn.common.attention.SinusoidalPositionalEmbedding'
model.encoder.context.context.layer.self_attention.attention.relative_pos_emb.max_timescale: 10000
model.encoder.context.context.layer.self_attention.attention.relative_pos_emb.min_timescale: 1
model.encoder.context.context.layer.self_attention.attention.relative_pos_linear.bias: False
model.encoder.context.context.layer.self_attention.attention.relative_pos_linear.klass: 'axlearn.common.attention.MultiheadRelativePositionLinear'
model.encoder.context.context.layer.self_attention.attention.relative_pos_linear.param_partition_spec[0]: None
model.encoder.context.context.layer.self_attention.attention.relative_pos_linear.param_partition_spec[1]: 'model'
model.encoder.context.context.layer.self_attention.attention.relative_pos_linear.param_partition_spec[2]: None
model.encoder.context.context.layer.self_attention.attention.scale_position: <ScalePosition.QUERY: 1>
model.encoder.context.context.layer.self_attention.dropout.klass: 'axlearn.common.layers.Dropout'
model.encoder.context.context.layer.self_attention.dropout.rate: 0.1
model.encoder.context.context.layer.self_attention.klass: 'axlearn.common.attention.TransformerAttentionLayer'
model.encoder.context.context.layer.self_attention.norm.eps: 1e-08
model.encoder.context.context.layer.self_attention.norm.forward_dtype: 'jax.numpy.float32'
model.encoder.context.context.layer.self_attention.norm.klass: 'axlearn.common.layers.LayerNorm'
model.encoder.context.context.layer.self_attention.stochastic_depth.klass: 'axlearn.common.layers.StochasticDepth'
model.encoder.context.context.layer.self_attention.stochastic_depth.mode: 'row'
model.encoder.context.context.layer.self_attention.structure: 'prenorm'
model.encoder.context.context.num_layers: 17
model.encoder.context.context.remat_spec['prevent_cse']: False
model.encoder.context.context.remat_spec['policy'].fn: 'jax._src.ad_checkpoint.save_only_these_names'
model.encoder.context.context.remat_spec['policy'].names_which_can_be_saved[0]: 'MultiheadAttentionXL.q_proj'
model.encoder.context.context.remat_spec['policy'].names_which_can_be_saved[1]: 'MultiheadAttentionXL.k_proj'
model.encoder.context.context.remat_spec['policy'].names_which_can_be_saved[2]: 'MultiheadAttentionXL.v_proj'
model.encoder.context.context.remat_spec['policy'].names_which_can_be_saved[3]: 'MultiheadAttentionXL.context'
model.encoder.context.context.remat_spec['policy'].names_which_can_be_saved[4]: 'MultiheadAttentionXL.o_proj'
model.encoder.context.context.repeat.drop_output.fn: 'axlearn.common.repeat._drop_by_regex'
model.encoder.context.context.repeat.drop_output.rules[0]: 'module_outputs.*'
model.encoder.context.context.repeat.klass: 'axlearn.common.conformer.ConformerRepeat'
model.encoder.context.dropout.klass: 'axlearn.common.layers.Dropout'
model.encoder.context.dropout.rate: 0.1
model.encoder.context.input_linear.bias: True
model.encoder.context.input_linear.klass: 'axlearn.common.layers.Linear'
model.encoder.context.input_linear.param_partition_spec[0]: None
model.encoder.context.input_linear.param_partition_spec[1]: None
model.encoder.context.klass: 'axlearn.audio.encoder_asr.SpeechContextNetwork'
model.encoder.context.pos_emb.klass: 'axlearn.common.attention.SinusoidalPositionalEmbedding'
model.encoder.context.pos_emb.max_timescale: 10000
model.encoder.context.pos_emb.min_timescale: 1
model.encoder.dim: 512
model.encoder.feature.augmenter.freq_mask_sampler.klass: 'axlearn.audio.spectrum_augmenter.MaskSampler'
model.encoder.feature.augmenter.freq_mask_sampler.max_mask_length: 27
model.encoder.feature.augmenter.freq_mask_sampler.max_num_masks: 2
model.encoder.feature.augmenter.klass: 'axlearn.audio.spectrum_augmenter.SpectrumAugmenter'
model.encoder.feature.augmenter.time_mask_sampler.klass: 'axlearn.audio.spectrum_augmenter.MaskSampler'
model.encoder.feature.augmenter.time_mask_sampler.max_mask_length_ratio: 0.05
model.encoder.feature.augmenter.time_mask_sampler.max_num_masks: 10
model.encoder.feature.frontend.fft_size: 'axlearn.audio.frontend_utils.next_power_of_2'
model.encoder.feature.frontend.frame_size_ms: 25
model.encoder.feature.frontend.hop_size_ms: 10
model.encoder.feature.frontend.klass: 'axlearn.audio.frontend.LogMelFrontend'
model.encoder.feature.frontend.mel_floor: 1e-08
model.encoder.feature.frontend.num_filters: 80
model.encoder.feature.frontend.output_dim: 1
model.encoder.feature.frontend.pre_emphasis.coeff: 0.97
model.encoder.feature.frontend.pre_emphasis.fn: 'axlearn.audio.frontend._pre_emphasis'
model.encoder.feature.frontend.sample_rate: 16000
model.encoder.feature.frontend.spectrogram.fn: 'axlearn.audio.frontend._log_mel_spectrogram'
model.encoder.feature.klass: 'axlearn.audio.encoder_asr.SpeechFeatureLayer'
model.encoder.feature.output_dim: 512
model.encoder.feature.subsampler.activation: 'nn.relu'
model.encoder.feature.subsampler.conv.bias: True
model.encoder.feature.subsampler.conv.klass: 'axlearn.common.layers.Conv2DWith1DPadding'
model.encoder.feature.subsampler.conv.num_input_dim_groups: 1
model.encoder.feature.subsampler.conv.padding[0][0]: 1
model.encoder.feature.subsampler.conv.padding[0][1]: 1
model.encoder.feature.subsampler.conv.padding[1][0]: 1
model.encoder.feature.subsampler.conv.padding[1][1]: 1
model.encoder.feature.subsampler.conv.param_partition_spec[0]: None
model.encoder.feature.subsampler.conv.param_partition_spec[1]: None
model.encoder.feature.subsampler.conv.param_partition_spec[2]: None
model.encoder.feature.subsampler.conv.param_partition_spec[3]: None
model.encoder.feature.subsampler.conv.strides[0]: 2
model.encoder.feature.subsampler.conv.strides[1]: 2
model.encoder.feature.subsampler.conv.window[0]: 3
model.encoder.feature.subsampler.conv.window[1]: 3
model.encoder.feature.subsampler.input_dim: 1
model.encoder.feature.subsampler.klass: 'axlearn.audio.subsamplers.ConvSubSampler'
model.encoder.klass: 'axlearn.audio.encoder_asr.ASREncoder'
model.klass: 'axlearn.audio.model_asr.ASRModel'
name: 'librispeech_trainer'
prune_empty_state_updates: True
save_input_iterator: False
start_trace_process_indices[0]: 0
summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
summary_writer.write_every_n_steps: 200
